Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Golden State Warriors,26.6,67,15,65,17,10.10,-0.09,10.01,111.6,101.4,10.2,98.3,.239,.311,.571,.540,13.1,24.1,.184,.470,14.3,74.5,.217,Oracle Arena,803436,19596
Los Angeles Clippers,28.8,56,26,58,24,6.59,0.22,6.80,112.4,105.5,6.9,94.7,.303,.322,.565,.533,11.6,22.8,.215,.493,13.2,75.7,.231,STAPLES Center,785892,19168
San Antonio Spurs,29.8,55,27,58,24,6.20,0.14,6.34,108.5,102.0,6.5,93.8,.256,.269,.555,.517,13.1,23.4,.200,.484,13.3,77.3,.190,AT&T Center,762855,18606
Atlanta Hawks,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,.259,.321,.563,.527,13.5,21.4,.201,.492,14.9,73.4,.185,Philips Arena,713909,17412
Portland Trail Blazers,27.0,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,.225,.316,.544,.508,12.6,24.2,.180,.476,11.3,76.2,.182,Moda Center,798368,19472
Cleveland Cavaliers,26.9,53,29,53,29,4.48,-0.40,4.08,111.1,106.3,4.8,92.3,.287,.334,.557,.520,13.4,26.8,.216,.502,12.6,74.7,.177,Quicken Loans Arena,843042,20562
Houston Rockets,27.6,56,26,50,32,3.44,0.38,3.82,107.0,103.4,3.6,96.5,.312,.392,.548,.512,15.0,26.8,.223,.486,14.6,72.9,.208,Toyota Center,747412,18230
Memphis Grizzlies,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92.0,.276,.184,.531,.489,12.6,24.7,.214,.492,14.5,75.3,.183,FedEx Forum,710502,17329
Dallas Mavericks,29.9,50,32,49,33,2.90,0.46,3.36,109.5,106.4,3.1,95.2,.262,.296,.550,.515,11.9,23.6,.197,.503,14.7,72.2,.204,American Airlines Center,827702,20188
Chicago Bulls,28.8,50,32,50,32,3.00,-0.46,2.54,107.5,104.3,3.2,92.8,.304,.269,.536,.489,12.9,27.0,.238,.473,11.3,74.4,.182,United Center,886612,21625
