Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Hassan Adams,22,2,73,547,79,148,0,1,27,42,36,84,14,18,5,26,51,185,.534,.000,.643,7.5,2.5,1.2,0.2
Maurice Ager,22,4,82,505,64,189,11,44,30,53,8,46,19,6,6,29,65,169,.339,.250,.566,6.2,2.1,0.6,0.2
LaMarcus Aldridge,21,12,869,30077,6844,14006,111,385,3072,3811,2330,7224,1662,654,917,1354,2167,16871,.489,.288,.806,34.6,19.4,8.3,1.9
Lou Amundson,24,10,428,5507,648,1368,0,3,268,603,644,1541,190,152,306,299,835,1564,.474,.000,.444,12.9,3.7,3.6,0.4
Hilton Armstrong,22,6,292,3378,347,693,2,7,184,316,292,766,102,90,142,230,544,880,.501,.286,.582,11.6,3.0,2.6,0.3
James Augustine,22,2,27,156,19,37,0,0,4,8,17,33,4,5,2,6,20,42,.514,,.500,5.8,1.6,1.2,0.1
Kelenna Azubuike,23,5,208,5025,802,1748,210,514,364,473,257,829,230,130,103,203,408,2178,.459,.409,.770,24.2,10.5,4.0,1.1
Renaldo Balkman,22,6,221,3064,368,721,11,64,147,271,278,769,132,164,104,134,421,894,.510,.172,.542,13.9,4.0,3.5,0.6
J.J. Barea,22,12,764,15085,2586,6093,749,2117,857,1074,230,1600,2947,304,21,1154,1091,6778,.424,.354,.798,19.7,8.9,2.1,3.9
Andrea Bargnani,21,10,550,15806,2932,6676,627,1771,1382,1677,530,2541,653,207,470,851,1338,7873,.439,.354,.824,28.7,14.3,4.6,1.2
Will Blalock,23,1,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,.300,.200,1.000,11.9,1.8,1.1,1.2
Josh Boone,22,4,256,4482,567,1042,0,0,206,463,484,1258,125,99,178,169,466,1340,.544,,.445,17.5,5.2,4.9,0.5
Cedric Bozeman,23,1,23,199,11,39,2,13,2,6,3,23,9,5,2,9,32,26,.282,.154,.333,8.7,1.1,1.0,0.4
Ronnie Brewer,21,8,502,11539,1554,3169,90,355,742,1099,451,1427,828,622,120,390,545,3940,.490,.254,.675,23.0,7.8,2.8,1.6
Andre Brown,25,3,75,598,82,159,0,1,33,66,70,178,11,14,8,48,73,197,.516,.000,.500,8.0,2.6,2.4,0.1
Dee Brown,22,2,68,711,50,147,13,52,27,42,15,69,119,32,7,48,79,140,.340,.250,.643,10.5,2.1,1.0,1.8
Shannon Brown,21,9,408,7329,1198,2854,276,831,446,553,177,760,458,284,90,378,538,3118,.420,.332,.807,18.0,7.6,1.9,1.1
Rodney Carney,22,5,299,4600,675,1599,200,591,228,324,164,588,132,159,100,157,420,1778,.422,.338,.704,15.4,5.9,2.0,0.4
Mardy Collins,22,4,189,2771,296,778,38,127,112,187,91,336,327,110,22,203,256,742,.380,.299,.599,14.7,3.9,1.8,1.7
Will Conroy,24,3,16,108,3,22,0,6,1,8,4,11,16,0,0,6,13,7,.136,.000,.125,6.8,0.4,0.7,1.0
Paul Davis,22,4,82,702,88,219,0,1,41,56,74,158,32,22,15,30,105,217,.402,.000,.732,8.6,2.6,1.9,0.4
Yakhouba Diawara,24,4,187,2614,233,653,122,405,67,103,77,258,122,52,16,72,276,655,.357,.301,.650,14.0,3.5,1.4,0.7
Quincy Douby,22,3,143,1535,222,571,68,218,76,86,34,152,93,50,21,87,128,588,.389,.312,.884,10.7,4.1,1.1,0.7
Jordan Farmar,20,10,504,9840,1460,3452,583,1559,385,521,161,958,1453,391,56,695,713,3888,.423,.374,.739,19.5,7.7,1.9,2.9
Desmon Farmer,25,2,11,86,9,29,5,20,3,3,0,7,11,1,0,5,8,26,.310,.250,1.000,7.8,2.4,0.6,1.0
Randy Foye,23,11,752,19279,2704,6750,1104,3017,1217,1429,245,1686,2112,528,220,1106,1584,7729,.401,.366,.852,25.6,10.3,2.2,2.8
Jorge Garbajosa,29,2,74,1983,230,554,72,209,57,78,50,345,128,81,15,65,92,589,.415,.344,.731,26.8,8.0,4.7,1.7
Rudy Gay,20,12,810,28046,5498,12135,829,2414,2690,3385,1193,4743,1783,1053,654,1894,1984,14515,.453,.343,.795,34.6,17.9,5.9,2.2
Mickael Gelabale,23,3,145,2348,263,560,43,136,101,124,107,330,115,50,35,92,186,670,.470,.316,.815,16.2,4.6,2.3,0.8
Daniel Gibson,20,7,397,9316,1065,2646,578,1419,407,522,142,792,775,243,86,373,811,3115,.402,.407,.780,23.5,7.8,2.0,2.0
Andreas Glyniadakis,25,1,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,.471,,.500,6.2,1.3,0.6,0.1
Lynn Greer,27,1,41,432,61,141,18,52,27,32,2,27,53,17,1,18,32,167,.433,.346,.844,10.5,4.1,0.7,1.3
Mike Hall,22,1,2,13,1,4,0,0,0,0,1,2,1,0,0,0,1,2,.250,,,6.5,1.0,1.0,0.5
Walter Herrmann,27,3,152,1939,312,681,114,299,81,103,78,319,66,31,12,61,143,819,.458,.381,.786,12.8,5.4,2.1,0.4
